"Date","Price","Open","High","Low","Vol.","Change %"
"01-10-2000","266.40","277.30","279.90","263.50","409.41K","-3.79%"
"01-09-2000","276.90","281.90","282.50","271.70","387.21K","-1.84%"
"01-08-2000","282.10","283.40","285.00","275.30","343.57K","-0.39%"
"01-07-2000","283.20","289.70","289.70","277.70","369.66K","-2.85%"
"01-06-2000","291.50","275.40","296.50","274.80","591.35K","6.08%"
"01-05-2000","274.80","274.80","284.00","269.50","475.19K","0.04%"
"01-04-2000","274.70","281.50","291.50","274.00","332.99K","-2.38%"
"01-03-2000","281.40","294.20","296.20","274.80","550.89K","-4.35%"
"01-02-2000","294.20","286.00","326.90","285.00","742.60K","2.80%"
"01-01-2000","286.20","289.50","291.80","280.00","414.02K","-1.17%"
"01-12-1999","289.60","293.00","294.00","276.20","412.23K","-1.16%"
"01-11-1999","293.00","299.70","300.40","288.00","372.59K","-2.43%"
"01-10-1999","300.30","299.10","339.00","287.60","807.28K","0.27%"
"01-09-1999","299.50","257.50","329.00","254.80","987.93K","16.40%"
"01-08-1999","257.30","258.80","264.70","253.80","628.99K","-0.58%"
"01-07-1999","258.80","263.50","264.70","253.20","651.84K","-1.82%"
"01-06-1999","263.60","271.50","272.00","258.50","529.11K","-3.09%"
"01-05-1999","272.00","287.90","291.20","267.90","755.60K","-5.49%"
"01-04-1999","287.80","281.90","289.00","279.10","522.57K","2.09%"
"01-03-1999","281.90","288.00","296.50","278.50","808.88K","-2.22%"
"01-02-1999","288.30","288.50","292.60","285.00","463.83K","0.03%"
"01-01-1999","288.20","289.60","294.30","282.50","610.54K","-0.35%"
"01-12-1998","289.20","295.00","299.50","286.50","474.88K","-2.00%"
"01-11-1998","295.10","294.00","299.10","288.70","485.99K","0.48%"
"01-10-1998","293.70","299.10","306.90","292.00","667.95K","-1.77%"
"01-09-1998","299.00","279.30","302.20","279.30","803.93K","7.21%"
"01-08-1998","278.90","291.00","294.80","273.80","614.54K","-3.99%"
"01-07-1998","290.50","297.80","299.70","289.10","538.02K","-2.55%"
"01-06-1998","298.10","295.40","301.60","285.60","655.72K","1.02%"
"01-05-1998","295.10","308.00","308.50","290.60","630.04K","-4.16%"
"01-04-1998","307.90","303.30","317.00","301.20","669.23K","1.52%"
"01-03-1998","303.30","300.00","306.80","287.30","609.14K","1.07%"
"01-02-1998","300.10","304.60","310.00","291.80","487.86K","-1.48%"
"01-01-1998","304.60","289.40","309.00","277.50","793.75K","5.07%"
"01-12-1997","289.90","298.50","299.10","283.30","509.44K","-2.36%"
"01-11-1997","296.90","312.10","316.90","295.10","534.30K","-4.87%"
"01-10-1997","312.10","336.60","342.10","308.00","847.16K","-7.36%"
"01-09-1997","336.90","327.00","337.90","321.00","701.88K","2.90%"
"01-08-1997","327.40","328.90","333.40","321.00","614.84K","-0.37%"
"01-07-1997","328.60","334.90","335.80","314.60","812.87K","-2.00%"
"01-06-1997","335.30","347.30","347.60","334.60","490.26K","-3.51%"
"01-05-1997","347.50","341.10","352.20","340.40","560.70K","1.85%"
"01-04-1997","341.20","354.30","355.10","339.50","460.53K","-3.62%"
"01-03-1997","354.00","365.10","366.00","346.30","613.91K","-3.04%"
"01-02-1997","365.10","346.30","365.50","338.50","761.35K","5.52%"
"01-01-1997","346.00","369.20","369.40","345.40","786.32K","-6.28%"
"01-12-1996","369.20","373.90","376.10","367.70","404.43K","-1.02%"
"01-11-1996","373.00","378.80","385.80","372.50","500.00K","-1.61%"
"01-10-1996","379.10","380.80","386.50","378.50","451.16K","-0.37%"
"01-09-1996","380.50","391.50","391.50","380.10","480.84K","-2.76%"
"01-08-1996","391.30","392.90","396.20","390.00","376.14K","-0.46%"
"01-07-1996","393.10","382.30","393.30","381.50","547.65K","3.01%"
"01-06-1996","381.60","394.30","394.30","381.50","508.21K","-3.25%"
"01-05-1996","394.40","393.50","398.00","389.80","582.68K","0.23%"
"01-04-1996","393.50","398.10","401.00","391.50","603.51K","-1.23%"
"01-03-1996","398.40","401.10","402.50","392.30","640.24K","-0.70%"
"01-02-1996","401.20","409.20","419.60","397.50","842.43K","-1.79%"
"01-01-1996","408.50","392.00","410.40","388.00","985.65K","5.26%"
"01-12-1995","388.10","387.60","392.40","386.70","359.01K","-0.13%"
"01-11-1995","388.60","384.10","391.50","381.50","641.95K","1.12%"
"01-10-1995","384.30","385.90","388.70","382.60","321.70K","-0.57%"
"01-09-1995","386.50","386.40","390.60","383.10","435.57K","-0.10%"
"01-08-1995","386.90","388.20","396.00","385.40","455.58K","-0.39%"
"01-07-1995","388.40","385.20","396.30","383.00","454.52K","0.73%"
"01-06-1995","385.60","386.60","395.00","384.20","499.00K","-0.52%"
"01-05-1995","387.60","389.90","393.90","381.50","582.90K","-0.23%"
"01-04-1995","388.50","395.20","400.80","387.30","536.92K","-1.47%"
"01-03-1995","394.30","377.40","402.00","374.50","778.14K","4.23%"
"01-02-1995","378.30","378.70","382.40","376.30","383.30K","0.16%"
"01-01-1995","377.70","382.40","386.00","372.00","646.28K","-1.74%"
"01-12-1994","384.40","383.70","386.80","377.70","377.24K","-0.03%"
"01-11-1994","384.50","384.70","387.90","382.40","483.73K","-0.10%"
"01-10-1994","384.90","396.20","399.80","383.70","591.46K","-3.19%"
"01-09-1994","397.60","390.50","401.90","389.90","595.28K","1.74%"
"01-08-1994","390.80","390.10","394.00","380.20","572.65K","0.41%"
"01-07-1994","389.20","386.80","394.10","382.00","533.60K","0.49%"
"01-06-1994","387.30","390.40","397.90","380.40","652.33K","-0.69%"
"01-05-1994","390.00","377.70","391.40","373.10","725.46K","3.23%"
"01-04-1994","377.80","394.70","395.80","369.50","529.48K","-4.18%"
"01-03-1994","394.30","381.80","396.50","374.00","641.89K","3.08%"
"01-02-1994","382.50","383.60","392.30","375.70","530.88K","-0.29%"
"01-01-1994","383.60","391.90","397.80","377.20","706.74K","-2.12%"
"01-12-1993","391.90","371.40","393.90","370.40","471.97K","5.38%"
"01-11-1993","371.90","368.60","381.20","360.70","666.68K","0.62%"
"01-10-1993","369.60","356.40","376.70","350.00","579.52K","3.50%"
"01-09-1993","357.10","374.40","375.00","343.00","652.41K","-4.95%"
"01-08-1993","375.70","410.40","414.00","367.00","713.86K","-8.66%"
"01-07-1993","411.30","378.90","411.70","378.10","845.95K","8.47%"
"01-06-1993","379.20","379.70","381.00","361.70","727.87K","-0.29%"
"01-05-1993","380.30","358.80","386.50","354.30","786.10K","6.47%"
"01-04-1993","357.20","338.60","358.50","336.00","600.56K","5.28%"
"01-03-1993","339.30","329.50","341.70","325.80","443.43K","3.10%"
"01-02-1993","329.10","330.20","334.60","327.80","358.35K","-0.48%"
"01-01-1993","330.70","329.10","333.00","326.30","325.22K","-0.72%"
"01-12-1992","333.10","335.80","340.10","332.00","21.93K","-0.72%"
"01-11-1992","335.50","339.90","340.80","328.90","","-1.35%"
"01-10-1992","340.10","348.90","353.40","336.90","","-2.66%"
"01-09-1992","349.40","345.50","354.50","340.30","","1.19%"
"01-08-1992","345.30","360.50","360.60","335.00","","-4.45%"
"01-07-1992","361.40","345.10","362.00","344.30","","4.94%"
"01-06-1992","344.40","338.70","346.90","338.20","","1.77%"
"01-05-1992","338.40","338.10","341.70","335.10","","0.15%"
"01-04-1992","337.90","346.00","346.90","334.90","","-2.20%"
"01-03-1992","345.50","351.30","353.00","336.30","","-2.43%"
"01-02-1992","354.10","359.50","360.50","349.40","","-1.34%"
"01-01-1992","358.90","351.20","361.50","348.50","","1.41%"
"01-12-1991","353.90","371.60","374.90","352.30","","-4.63%"
"01-11-1991","371.10","359.50","371.20","353.60","","3.23%"
"01-10-1991","359.50","357.10","367.40","356.70","","0.62%"
"01-09-1991","357.30","351.30","359.50","346.00","","1.25%"
"01-08-1991","352.90","370.70","370.90","350.10","","-4.83%"
"01-07-1991","370.80","370.20","373.20","362.30","","0.22%"
"01-06-1991","370.00","366.80","377.90","361.50","","1.43%"
"01-05-1991","364.80","358.60","367.70","354.60","","1.98%"
"01-04-1991","357.70","359.10","368.20","352.60","","-0.47%"
"01-03-1991","359.40","368.50","372.80","354.50","","-2.60%"
"01-02-1991","369.00","371.50","373.70","357.00","","0.14%"
"01-01-1991","368.50","395.10","406.90","367.80","","-6.99%"
"01-12-1990","396.20","384.90","396.50","369.10","","2.72%"
"01-11-1990","385.70","383.00","393.30","376.00","","1.15%"
"01-10-1990","381.30","402.90","404.00","361.50","","-6.57%"
"01-09-1990","408.10","390.10","414.30","381.60","","4.86%"
"01-08-1990","389.20","379.30","425.00","379.20","","2.64%"
"01-07-1990","379.20","359.50","382.20","352.00","","5.36%"
"01-06-1990","359.90","367.50","368.90","348.20","","-2.36%"
"01-05-1990","368.60","372.40","377.60","361.00","","-0.75%"
"01-04-1990","371.40","372.30","385.40","367.70","","-0.96%"
"01-03-1990","375.00","409.30","410.40","362.50","","-8.29%"
"01-02-1990","408.90","418.80","430.30","407.50","","-2.13%"
"01-01-1990","417.80","401.00","427.00","394.50","","3.11%"
"01-12-1989","405.20","418.20","424.20","400.10","","-2.95%"
"01-11-1989","417.50","377.70","419.70","375.70","","10.57%"
"01-10-1989","377.60","371.20","382.30","364.30","","1.51%"
"01-09-1989","372.00","365.70","376.70","360.60","","1.81%"
"01-08-1989","365.40","378.50","382.50","364.60","","-3.51%"
"01-07-1989","378.70","379.50","390.80","369.00","","0.37%"
"01-06-1989","377.30","366.30","384.80","360.50","","2.95%"
"01-05-1989","366.50","377.80","383.00","360.60","","-3.68%"
"01-04-1989","380.50","390.30","396.90","379.60","","-2.44%"
"01-03-1989","390.00","388.20","400.20","381.80","","-0.10%"
"01-02-1989","390.40","396.00","401.20","382.00","","-1.36%"
"01-01-1989","395.80","416.10","416.30","393.10","","-4.00%"
"01-12-1988","412.30","429.80","438.00","409.50","","-4.03%"
"01-11-1988","429.60","413.70","429.80","412.60","","3.49%"
"01-10-1988","415.10","398.80","419.00","398.10","","3.98%"
"01-09-1988","399.20","439.00","439.70","395.50","","-9.25%"
"01-08-1988","439.90","447.60","448.60","433.00","","-1.65%"
"01-07-1988","447.30","438.50","449.30","424.00","","2.19%"
"01-06-1988","437.70","461.60","473.80","432.30","","-4.81%"
"01-05-1988","459.80","449.50","463.00","443.60","","1.59%"
"01-04-1988","452.60","461.50","464.00","448.20","","-1.16%"
"01-03-1988","457.90","430.50","463.20","425.90","","6.02%"
"01-02-1988","431.90","458.50","461.90","425.10","","-5.80%"
"01-01-1988","458.50","484.00","488.50","454.00","","-6.22%"
"01-12-1987","488.90","493.50","507.40","475.00","","-1.67%"
"01-11-1987","497.20","472.30","503.00","456.00","","5.52%"
"01-10-1987","471.20","459.80","496.00","457.90","","2.70%"
"01-09-1987","458.80","462.00","474.80","458.00","","0.02%"
"01-08-1987","458.70","486.00","490.20","456.90","","-3.45%"
"01-07-1987","475.10","451.50","475.70","442.50","","5.06%"
"01-06-1987","452.20","449.50","468.80","437.60","","-0.83%"
"01-05-1987","456.00","455.50","481.50","445.50","","-0.11%"
"01-04-1987","456.50","422.50","480.50","418.50","","8.00%"
"01-03-1987","422.70","406.60","429.90","403.00","","3.76%"
"01-02-1987","407.40","409.70","412.00","391.40","","-0.37%"
"01-01-1987","408.90","406.50","425.00","399.00","","0.49%"
"01-12-1986","406.90","402.00","408.00","386.50","","3.06%"
"01-11-1986","394.80","405.00","413.80","376.50","","-2.64%"
"01-10-1986","405.50","430.30","446.50","400.00","","-5.65%"
"01-09-1986","429.80","399.00","446.00","397.10","","9.28%"
"01-08-1986","393.30","367.00","404.50","364.00","","6.38%"
"01-07-1986","369.70","348.20","371.30","343.30","","6.33%"
"01-06-1986","347.70","346.20","355.00","336.50","","0.17%"
"01-05-1986","347.10","348.00","348.80","337.70","","-0.29%"
"01-04-1986","348.10","336.00","352.50","330.80","","3.97%"
"01-03-1986","334.80","340.50","359.60","334.00","","-1.82%"
"01-02-1986","341.00","351.00","357.50","331.70","","-3.37%"
"01-01-1986","352.90","329.80","369.50","328.00","","6.58%"
"01-12-1985","331.10","327.80","332.40","315.50","","1.16%"
"01-11-1985","327.30","325.70","333.40","322.10","","0.18%"
"01-10-1985","326.70","326.00","335.70","324.90","","-0.12%"
"01-09-1985","327.10","335.00","336.50","318.20","","-3.74%"
"01-08-1985","339.80","332.50","350.20","326.50","","1.37%"
"01-07-1985","335.20","317.10","337.50","308.30","","5.51%"
"01-06-1985","317.70","320.10","331.30","312.50","","-0.56%"
"01-05-1985","319.50","317.30","329.80","308.60","","0.95%"
"01-04-1985","316.50","324.50","338.60","315.00","","-5.27%"
"01-03-1985","334.10","288.70","337.20","287.00","","15.73%"
"01-02-1985","288.70","306.00","308.50","282.60","","-6.08%"
"01-01-1985","307.40","307.00","311.00","296.70","","-0.74%"
"01-12-1984","309.70","332.50","337.00","306.60","","-7.14%"
"01-11-1984","333.50","335.70","353.50","325.00","","-0.74%"
"01-10-1984","336.00","352.00","355.80","333.50","","-4.36%"
"01-09-1984","351.30","350.00","356.50","341.60","","-1.87%"
"01-08-1984","358.00","350.50","369.00","349.00","","2.20%"
"01-07-1984","350.30","373.00","374.30","333.00","","-6.86%"
"01-06-1984","376.10","399.30","405.30","370.00","","-4.45%"
"01-05-1984","393.60","379.80","395.50","370.00","","3.69%"
"01-04-1984","379.60","394.50","395.00","377.80","","-3.73%"
"01-03-1984","394.30","398.20","410.50","385.50","","-1.15%"
"01-02-1984","398.90","384.00","406.00","379.10","","5.20%"
"01-01-1984","379.20","385.50","386.40","362.50","","-2.27%"
"01-12-1983","388.00","405.00","410.00","375.50","","-5.13%"
"01-11-1983","409.00","377.80","414.00","373.00","","7.97%"
"01-10-1983","378.80","396.00","408.80","378.00","","-7.11%"
"01-09-1983","407.80","426.30","429.00","401.00","","-4.00%"
"01-08-1983","424.80","427.00","441.00","418.50","","-0.61%"
"01-07-1983","427.40","419.50","441.60","409.50","","2.13%"
"01-06-1983","418.50","420.00","428.30","401.00","","0.00%"
"01-05-1983","418.50","430.70","452.50","417.80","","-3.46%"
"01-04-1983","433.50","422.50","450.80","422.50","","2.73%"
"01-03-1983","422.00","416.00","442.00","406.50","","-0.40%"
"01-02-1983","423.70","517.50","520.00","423.70","","-18.24%"
"01-01-1983","518.20","455.00","519.00","449.50","","14.39%"
"01-12-1982","453.00","446.00","468.80","435.00","","0.89%"
"01-11-1982","449.00","431.00","449.50","398.00","","6.15%"
"01-10-1982","423.00","408.50","465.00","390.00","","4.50%"
"01-09-1982","404.80","413.50","509.00","396.00","","-3.27%"
"01-08-1982","418.50","364.50","441.00","340.20","","17.72%"
"01-07-1982","355.50","314.00","369.70","308.30","","11.86%"
"01-06-1982","317.80","325.50","343.00","297.50","","-3.40%"
"01-05-1982","329.00","351.00","351.00","322.90","","-5.05%"
"01-04-1982","346.50","334.50","377.50","328.80","","3.68%"
"01-03-1982","334.20","362.50","366.50","312.50","","-8.31%"
"01-02-1982","364.50","387.00","394.40","362.70","","-6.97%"
"01-01-1982","391.80","399.00","411.00","369.00","","-2.73%"
"01-12-1981","402.80","407.00","437.00","396.50","","-2.54%"
"01-11-1981","413.30","432.00","436.00","392.50","","-4.15%"
"01-10-1981","431.20","446.00","469.00","426.50","","-2.66%"
"01-09-1981","443.00","441.00","482.50","428.00","","-0.11%"
"01-08-1981","443.50","411.00","463.00","405.00","","4.80%"
"01-07-1981","423.20","426.50","431.50","397.00","","-1.24%"
"01-06-1981","428.50","495.50","497.50","427.00","","-12.99%"
"01-05-1981","492.50","488.00","503.00","464.00","","0.72%"
"01-04-1981","489.00","524.00","545.50","476.00","","-6.95%"
"01-03-1981","525.50","471.00","556.00","453.00","","8.02%"
"01-02-1981","486.50","505.00","530.50","485.00","","-5.07%"
"01-01-1981","512.50","593.50","612.00","498.00","","-14.51%"
"01-12-1980","599.50","656.00","658.00","558.00","","-6.98%"
"01-11-1980","644.50","640.00","665.00","593.00","","0.39%"
"01-10-1980","642.00","699.00","708.50","627.00","","-6.75%"
"01-09-1980","688.50","656.00","748.50","656.00","","4.95%"
"01-08-1980","656.00","643.00","670.50","620.00","","2.18%"
"01-07-1980","642.00","670.00","696.00","604.00","","-1.83%"
"01-06-1980","654.00","580.00","666.00","560.00","","17.84%"
"01-05-1980","555.00","500.00","562.50","482.00","","9.47%"
"01-04-1980","507.00","525.00","570.00","483.00","","-2.31%"
"01-03-1980","519.00","643.00","660.00","453.00","","-18.91%"
"01-02-1980","640.00","700.00","742.50","617.00","","-9.09%"
"01-01-1980","704.00","566.00","873.00","566.00","","30.13%"
"01-12-1979","541.00","440.00","543.00","433.00","","25.67%"
"01-11-1979","430.50","381.50","432.80","365.00","","11.62%"
"01-10-1979","385.70","416.50","444.50","373.00","","-4.65%"
"01-09-1979","404.50","334.00","409.00","330.50","","23.81%"
"01-08-1979","326.70","299.00","330.00","288.00","","9.89%"
"01-07-1979","297.30","284.30","318.50","282.30","","4.76%"
"01-06-1979","283.80","280.50","287.50","275.00","","0.96%"
"01-05-1979","281.10","250.00","282.00","246.10","","12.80%"
"01-04-1979","249.20","243.80","250.70","231.80","","2.21%"
"01-03-1979","243.80","250.70","252.90","235.00","","-3.60%"
"01-02-1979","252.90","235.00","258.80","232.00","","6.89%"
"01-01-1979","236.60","229.10","239.30","216.60","","3.32%"
"01-12-1978","229.00","196.00","229.60","195.80","","16.60%"
"01-11-1978","196.40","230.70","230.70","192.00","","-18.40%"
"01-10-1978","240.70","220.50","249.40","220.20","","8.96%"
"01-09-1978","220.90","212.00","224.60","207.60","","4.89%"
"01-08-1978","210.60","214.00","221.50","201.50","","0.38%"
"01-07-1978","209.80","184.50","210.00","183.20","","14.21%"
"01-06-1978","183.70","185.50","189.30","181.90","","-1.76%"
"01-05-1978","187.00","170.30","188.40","169.20","","9.61%"
"01-04-1978","170.60","185.70","185.90","166.80","","-8.38%"
"01-03-1978","186.20","184.90","192.80","176.00","","0.98%"
"01-02-1978","184.40","179.40","185.80","173.60","","3.07%"
"01-01-1978","178.90","169.90","179.70","165.50","","6.81%"
"01-12-1977","167.50","162.90","167.90","157.10","","3.20%"
"01-11-1977","162.30","163.80","169.90","154.70","","-0.25%"
"01-10-1977","162.70","157.80","166.80","155.40","","4.03%"
"01-09-1977","156.40","147.70","157.10","147.40","","5.60%"
"01-08-1977","148.10","147.20","150.20","144.00","","0.68%"
"01-07-1977","147.10","143.50","148.00","140.50","","2.44%"
"01-06-1977","143.60","144.80","145.60","137.60","","-0.49%"
"01-05-1977","144.30","147.90","149.70","142.00","","-2.50%"
"01-04-1977","148.00","150.50","154.70","144.80","","-1.99%"
"01-03-1977","151.00","143.00","154.70","142.40","","4.43%"
"01-02-1977","144.60","134.00","145.40","132.80","","7.91%"
"01-01-1977","134.00","135.50","137.70","127.50","","-1.25%"
"01-12-1976","135.70","131.90","139.90","131.30","","2.34%"
"01-11-1976","132.60","122.80","141.00","122.80","","7.11%"
"01-10-1976","123.80","115.80","126.00","112.90","","6.63%"
"01-09-1976","116.10","104.30","121.00","104.10","","12.50%"
"01-08-1976","103.20","113.70","115.20","100.00","","-9.63%"
"01-07-1976","114.20","123.60","124.50","105.00","","-7.83%"
"01-06-1976","123.90","127.80","132.50","123.50","","-2.67%"
"01-05-1976","127.30","128.80","129.80","124.10","","-1.24%"
"01-04-1976","128.90","129.70","131.00","126.90","","-0.62%"
"01-03-1976","129.70","132.50","135.30","127.50","","-2.19%"
"01-02-1976","132.60","130.50","134.70","128.50","","2.79%"
"01-01-1976","129.00","140.80","141.50","123.40","","-8.51%"
"01-12-1975","141.00","138.80","147.90","136.70","","1.59%"
"01-11-1975","138.80","143.50","149.10","138.10","","-2.80%"
"01-10-1975","142.80","145.00","148.00","138.50","","0.42%"
"01-09-1975","142.20","152.80","156.30","129.00","","-12.65%"
"01-08-1975","162.80","173.80","173.90","160.40","","-6.11%"
"01-07-1975","173.40","168.30","175.40","161.40","","3.34%"
"01-06-1975","167.80","164.50","175.00","160.00","","-0.71%"
"01-05-1975","169.00","167.00","176.90","163.40","","1.32%"
"01-04-1975","166.80","179.70","179.90","162.30","","-7.08%"
"01-03-1975","179.50","183.30","187.50","175.00","","-1.91%"
"01-02-1975","183.00","179.10","189.00","171.30","","2.81%"